session_id,user_id,persona,session_start,session_end,session_duration_minutes,exit_reason,is_weekend
S0000001,U04597,active_engager,2025-09-06 08:31:22,2025-09-06 09:20:22,49,interruption,True
S0000002,U00834,binge_user,2025-03-07 22:14:05,2025-03-07 22:48:05,34,fatigue,False
S0000003,U03748,active_engager,2026-03-13 19:23:30,2026-03-13 19:43:30,20,goal_completed,False
S0000004,U00937,passive_scroller,2026-02-15 22:21:13,2026-02-15 22:39:13,18,goal_completed,True
S0000005,U02430,active_engager,2026-02-10 23:47:10,2026-02-11 00:19:10,32,fatigue,False
S0000006,U00704,binge_user,2025-02-21 20:31:18,2025-02-21 22:18:18,107,boredom,False
S0000007,U04155,passive_scroller,2026-02-04 19:03:07,2026-02-04 19:12:07,9,fatigue,False
S0000008,U00564,trend_hopper,2026-02-10 22:17:16,2026-02-10 22:41:16,24,goal_completed,False
S0000009,U04803,passive_scroller,2025-08-01 21:37:44,2025-08-01 21:44:44,7,boredom,False
S0000010,U03898,active_engager,2025-04-02 19:34:05,2025-04-02 20:10:05,36,interruption,False
S0000011,U04495,trend_hopper,2025-09-11 23:46:55,2025-09-11 23:53:55,7,fatigue,False
S0000012,U02565,binge_user,2026-01-23 20:56:59,2026-01-23 21:46:59,50,fatigue,False
S0000013,U01070,passive_scroller,2025-12-03 23:01:19,2025-12-03 23:05:19,4,boredom,False
S0000014,U01210,active_engager,2026-04-29 12:33:03,2026-04-29 12:59:03,26,goal_completed,False
S0000015,U03706,active_engager,2025-07-25 21:43:57,2025-07-25 22:23:57,40,goal_completed,False
S0000016,U03635,trend_hopper,2025-12-13 19:35:51,2025-12-13 19:53:51,18,boredom,True
S0000017,U02660,passive_scroller,2025-02-13 21:18:19,2025-02-13 21:29:19,11,boredom,False
S0000018,U04123,trend_hopper,2025-02-28 00:13:32,2025-02-28 00:28:32,15,boredom,False
S0000019,U02894,binge_user,2025-09-03 01:17:41,2025-09-03 02:08:41,51,boredom,False
S0000020,U01655,trend_hopper,2025-08-22 23:29:47,2025-08-22 23:34:47,5,goal_completed,False
S0000021,U02919,passive_scroller,2025-10-22 22:40:56,2025-10-22 22:51:56,11,boredom,False
S0000022,U01862,binge_user,2025-05-18 22:56:44,2025-05-19 00:16:44,80,fatigue,True
S0000023,U01415,passive_scroller,2025-04-12 20:37:52,2025-04-12 20:51:52,14,goal_completed,True
S0000024,U03526,trend_hopper,2025-07-14 23:21:21,2025-07-14 23:27:21,6,goal_completed,False
S0000025,U03802,binge_user,2025-03-14 13:20:52,2025-03-14 14:02:52,42,boredom,False
S0000026,U01121,active_engager,2025-04-18 22:49:48,2025-04-18 23:08:48,19,boredom,False
S0000027,U03525,passive_scroller,2025-08-27 21:15:54,2025-08-27 21:20:54,5,fatigue,False
S0000028,U00997,active_engager,2025-09-17 22:13:07,2025-09-17 22:24:07,11,fatigue,False
S0000029,U00026,trend_hopper,2025-12-06 19:48:48,2025-12-06 20:01:48,13,interruption,True
