user_id,username,country,age,persona,signup_date,binge_tendency,engagement_rate,favorite_categories
U00001,gomezedward,Guam,43,passive_scroller,2026-04-26,0.14,0.04,"sports,fitness,finance"
U00002,cwells,Palau,42,passive_scroller,2025-05-26,0.15,0.03,"sports,memes,food"
U00003,dicksonhannah,Tuvalu,31,passive_scroller,2025-12-30,0.12,0.04,"music,sports,anime"
U00004,buchananalexander,Russian Federation,20,passive_scroller,2025-07-12,0.18,0.03,"gaming,tech,sports"
U00005,alopez,Philippines,40,active_engager,2025-05-14,0.52,0.31,"sports,finance,tech"
U00006,richardcruz,Gabon,23,trend_hopper,2026-03-20,0.34,0.09,"food,memes,music"
U00007,barry29,Saint Helena,31,trend_hopper,2025-04-26,0.55,0.1,"finance,food,gaming"
U00008,yanderson,Liechtenstein,19,binge_user,2025-06-26,0.71,0.14,"gaming,memes,fitness"
U00009,petersonmichelle,New Caledonia,32,trend_hopper,2025-04-15,0.32,0.09,"sports,anime,music"
U00010,bookerchristopher,Kuwait,18,passive_scroller,2025-05-02,0.3,0.05,"fitness,anime,gaming"
U00011,gonzalezemily,Azerbaijan,29,trend_hopper,2025-06-01,0.32,0.11,"anime,finance,gaming"
U00012,pamelamitchell,El Salvador,31,binge_user,2025-07-04,0.76,0.08,"anime,memes,tech"
U00013,emorse,Eritrea,41,binge_user,2025-08-12,0.98,0.09,"anime,music,finance"
U00014,jeannejohnson,Belgium,45,trend_hopper,2025-09-14,0.55,0.09,"finance,sports,tech"
U00015,fmoore,Wallis and Futuna,31,binge_user,2025-05-23,0.74,0.12,"sports,music,anime"
U00016,wcurtis,Austria,18,active_engager,2025-04-27,0.49,0.22,"music,gaming,fitness"
U00017,sean14,Lesotho,32,active_engager,2026-03-02,0.5,0.18,"memes,sports,fitness"
U00018,jonathan79,Pitcairn Islands,37,passive_scroller,2025-02-03,0.37,0.04,"memes,sports,food"
U00019,anne53,Georgia,25,passive_scroller,2026-04-30,0.3,0.03,"finance,tech,food"
U00020,jmarks,Uzbekistan,40,binge_user,2025-05-21,0.88,0.11,"sports,tech,finance"
U00021,richalyssa,Italy,31,active_engager,2025-02-15,0.62,0.29,"sports,food,tech"
U00022,wmiller,Belarus,36,trend_hopper,2025-05-22,0.51,0.06,"fitness,memes,food"
U00023,williamchapman,Venezuela,20,passive_scroller,2025-01-13,0.17,0.04,"gaming,memes,food"
U00024,leah21,Norway,35,trend_hopper,2025-12-03,0.39,0.1,"food,fitness,finance"
U00025,anthony59,Qatar,19,passive_scroller,2025-03-10,0.31,0.02,"memes,fitness,music"
U00026,smitholivia,Guinea-Bissau,39,trend_hopper,2025-02-09,0.45,0.11,"sports,music,gaming"
U00027,nbarry,United States Minor Outlying Islands,25,passive_scroller,2025-03-05,0.33,0.05,"sports,memes,anime"
U00028,howardmaria,Lao People's Democratic Republic,29,passive_scroller,2026-04-04,0.15,0.04,"finance,sports,tech"
U00029,richardjones,Burkina Faso,44,passive_scroller,2026-03-19,0.14,0.03,"memes,anime,music"
